ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,metodo,nota
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Projetada, Guajará, Nossa Senhora do Socorro - SE",-10.8932728,-37.1425792,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Agepino, Guajará, Nossa Senhora do Socorro - SE",-10.9042093,-37.1502458,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Almeida Fraga, Guajará, Nossa Senhora do Socorro - SE",-10.9044721,-37.1503541,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua F, Guajará, Nossa Senhora do Socorro - SE",-10.8868821,-37.1605749,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua H, Guajará, Nossa Senhora do Socorro - SE",-10.901548,-37.1542648,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua G, Guajará, Nossa Senhora do Socorro - SE",-10.8970742,-37.1608445,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Santa Barbara, Guajará, Nossa Senhora do Socorro - SE",-10.898855,-37.14478,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Santa Bárbara, Guajará, Nossa Senhora do Socorro - SE",-10.898855,-37.14478,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa I, Guajará, Nossa Senhora do Socorro - SE",-10.8557523,-37.0929606,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa E, Guajará, Nossa Senhora do Socorro - SE",-10.8970991,-37.1265527,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Colonial, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua K, Guajará, Nossa Senhora do Socorro - SE",-10.8887496,-37.1583646,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua C, Guajará, Nossa Senhora do Socorro - SE",-10.8876823,-37.1589899,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Odálio Golveia, Guajará, Nossa Senhora do Socorro - SE",-10.8984778,-37.1495361,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Balbino José, Guajará, Nossa Senhora do Socorro - SE",-10.897408,-37.150596,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Bela Vista, Guajará, Nossa Senhora do Socorro - SE",-10.8982054,-37.1497222,google_api,encontrado_GEOMETRIC_CENTER
